,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2023-04-14,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-04-13,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-04-12,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-04-11,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-04-10,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-04-06,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-04-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-04-04,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-04-03,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-31,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-30,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-29,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-28,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-27,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-24,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-23,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-22,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-21,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-20,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-17,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-16,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-15,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-14,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-13,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-10,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-09,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-08,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-07,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-06,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-03,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-02,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-03-01,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-02-28,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-02-27,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,0.0000,1.0
2023-02-24,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,480,0.0000,1.0
2022-10-21,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-10-20,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-10-19,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-10-18,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-10-17,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-10-14,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-10-13,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-10-12,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-10-11,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-10-10,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-10-07,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-10-06,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-10-05,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-10-04,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-10-03,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-09-30,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-09-29,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-09-28,0.048,0.048,0.048,0.048,0.048,0,0.0000,1.0
2022-09-27,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-26,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-23,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-22,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-21,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-20,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-19,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-16,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-15,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-14,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-13,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-12,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-09,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-08,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-07,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-06,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-02,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-09-01,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-31,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-30,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-29,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-26,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-25,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-24,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-23,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-22,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-19,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-18,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-17,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-16,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-15,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-12,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-11,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-10,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-09,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-08,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-05,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-04,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-03,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
2022-08-02,0.0477,0.0477,0.0477,0.0477,0.0477,0,0.0000,1.0
