,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2023-04-14,496.19,500.37,490.16,491.3,491.3,1675297,0.0000,1.0
2023-04-13,493.49,498.44,490.31,497.89,497.89,1600513,0.0000,1.0
2023-04-12,500.0,500.05,488.54,489.35,489.35,2063696,0.0000,1.0
2023-04-11,493.83,499.99,493.0,498.65,498.65,1547381,0.0000,1.0
2023-04-10,483.9,493.9034,481.66,493.83,493.83,1653593,0.0000,1.0
2023-04-06,482.0,487.85,477.5,485.98,485.98,4114702,0.0000,1.0
2023-04-05,499.0,504.13,495.155,497.13,497.13,1941503,0.0000,1.0
2023-04-04,496.5,502.5762,495.5,497.73,497.73,1913281,0.0000,1.0
2023-04-03,496.5,499.2,495.0,497.03,497.03,1804653,0.0000,1.0
2023-03-31,495.0,498.36,493.94,496.87,496.87,2082044,0.0000,1.0
2023-03-30,493.0,495.7436,491.0,491.48,491.48,1545533,0.0000,1.0
2023-03-29,489.2,491.3,485.9,490.87,490.87,1642982,0.0000,1.0
2023-03-28,492.61,494.0624,485.41,486.77,486.77,1407839,0.0000,1.0
2023-03-27,497.28,499.8577,492.51,493.22,493.22,1452077,0.0000,1.0
2023-03-24,486.94,495.97,486.5558,495.27,495.27,1636784,0.0000,1.0
2023-03-23,490.69,493.25,484.29,487.76,487.76,1566000,0.0000,1.0
2023-03-22,489.46,496.62,487.35,487.52,487.52,1299654,0.0000,1.0
2023-03-21,493.0,493.0,485.99,490.85,490.85,1663959,0.0000,1.0
2023-03-20,488.0,490.79,485.72,489.29,489.29,1624017,0.0000,1.0
2023-03-17,489.07,489.9,481.51,487.05,487.05,3959291,0.0000,1.0
2023-03-16,484.93,488.14,482.76,487.26,487.26,1980652,0.0000,1.0
2023-03-15,481.51,487.02,478.54,485.66,485.66,2226309,0.0000,1.0
2023-03-14,475.43,485.16,473.0,481.92,481.92,2422900,0.0000,1.0
2023-03-13,466.8,476.69,466.8,472.0,472.0,1799597,0.0000,1.0
2023-03-10,478.98,480.46,468.38,471.14,471.14,2123002,0.0000,1.0
2023-03-09,487.48,490.0,478.62,479.52,479.52,1629402,0.0000,1.0
2023-03-08,483.0,486.88,481.1401,486.04,486.04,1548504,0.0000,1.0
2023-03-07,486.1,495.21,485.0,485.15,485.15,2659077,0.0000,1.0
2023-03-06,476.52,488.8174,475.52,483.08,483.08,3104742,0.0000,1.0
2023-03-03,474.83,476.0,465.33,475.26,475.26,5354214,0.0000,1.0
2023-03-02,477.36,487.43,475.5618,485.69,485.69,2407400,0.0000,1.0
2023-03-01,481.1,482.575,475.02,478.67,478.67,1759327,0.0000,1.0
2023-02-28,485.6,488.88,483.78,484.18,484.18,1918221,0.0000,1.0
2023-02-27,492.55,492.9999,485.68,487.03,487.03,1501749,0.0000,1.0
2023-02-24,488.58,490.355,484.7,488.61,488.61,1587611,0.0000,1.0
2023-02-23,498.8,498.855,487.86,493.14,493.14,1546431,0.0000,1.0
2023-02-22,503.92,505.46,496.6,497.39,497.39,1331969,0.0000,1.0
2023-02-21,500.82,503.99,496.55,501.74,501.74,1811982,0.0000,1.0
2023-02-17,504.27,507.71,501.835,507.48,507.48,1340437,0.0000,1.0
2023-02-16,503.61,510.7299,503.6,504.1,504.1,1455951,0.0000,1.0
2023-02-15,502.73,511.42,501.34,511.28,511.28,1423417,0.0000,1.0
2023-02-14,505.01,507.85,498.63,503.22,503.22,1257327,0.0000,1.0
2023-02-13,501.74,506.785,501.35,506.45,506.45,1452837,0.0000,1.0
2023-02-10,498.51,500.55,495.38,499.99,499.99,1536847,0.0000,1.0
2023-02-09,505.29,509.16,498.42,500.63,500.63,1517341,0.0000,1.0
2023-02-08,511.29,512.18,501.56,503.81,503.81,2062928,0.0000,1.0
2023-02-07,511.99,517.99,507.3935,516.53,516.53,1927275,0.0000,1.0
2023-02-06,514.44,517.2219,512.265,515.59,515.59,1740105,0.0000,1.0
2023-02-03,519.13,521.55,512.5001,514.8,514.8,1844148,0.0000,1.0
2023-02-02,524.29,530.05,520.64,523.43,523.43,2287366,0.9000,1.0
2023-02-01,508.31,520.45,504.72,517.91,517.021019777621,2080208,0.0000,1.0
2023-01-31,503.23,511.41,502.0,511.14,510.262640321935,1924081,0.0000,1.0
2023-01-30,500.37,505.6,500.37,503.28,502.416131825377,1855941,0.0000,1.0
2023-01-27,499.76,509.1,497.86,503.29,502.426114660615,2034069,0.0000,1.0
