,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2023-04-14,890.8,894.9,886.6,892.8,892.8,390098,0.0000,1.0
2023-04-13,866.0,884.5,861.7,883.9,883.9,567492,0.0000,1.0
2023-04-12,846.0,846.8,832.0,836.6,836.6,355214,0.0000,1.0
2023-04-11,837.0,848.0,831.4,840.7,840.7,386327,0.0000,1.0
2023-04-06,841.6,842.8,826.7,829.1,829.1,369459,0.0000,1.0
2023-04-05,850.0,855.2,842.2,844.6,844.6,337453,0.0000,1.0
2023-04-04,846.0,852.0,840.4,851.0,851.0,298342,0.0000,1.0
2023-04-03,840.9,845.2,839.9,844.1,844.1,263789,0.0000,1.0
2023-03-31,828.9,848.2,828.2,844.4,844.4,482929,0.0000,1.0
2023-03-30,827.0,835.2,821.6,827.0,827.0,335213,0.0000,1.0
2023-03-29,820.9,830.0,820.5,822.0,822.0,399785,0.0000,1.0
2023-03-28,824.3,831.0,813.4,814.2,814.2,331452,0.0000,1.0
2023-03-27,819.4,821.8,813.1,817.0,817.0,307155,0.0000,1.0
2023-03-24,818.0,820.6,809.7,813.4,813.4,375369,0.0000,1.0
2023-03-23,811.8,821.0,809.1,820.8,820.8,277171,0.0000,1.0
2023-03-22,804.7,816.8,802.4,814.9,814.9,256456,0.0000,1.0
2023-03-21,810.7,815.6,803.3,806.7,806.7,294749,0.0000,1.0
2023-03-20,790.2,810.5,780.7,804.5,804.5,447024,0.0000,1.0
2023-03-17,805.0,808.0,784.5,787.3,787.3,932225,0.0000,1.0
2023-03-16,785.3,809.3,776.7,801.7,801.7,600374,0.0000,1.0
2023-03-15,797.6,800.4,767.6,774.7,774.7,658997,0.0000,1.0
2023-03-14,785.3,804.5,782.3,800.5,800.5,471562,0.0000,1.0
2023-03-13,803.7,805.8,775.5,781.7,781.7,656071,0.0000,1.0
2023-03-10,790.0,807.3,785.0,802.6,802.6,424800,0.0000,1.0
2023-03-09,809.0,811.0,802.6,805.2,805.2,305905,0.0000,1.0
2023-03-08,805.0,818.3,804.4,810.4,810.4,306714,0.0000,1.0
2023-03-07,816.7,826.4,815.7,816.1,816.1,307546,0.0000,1.0
2023-03-06,826.0,830.7,820.8,825.0,825.0,333821,0.0000,1.0
2023-03-03,808.6,817.1,804.4,815.1,815.1,302048,0.0000,1.0
2023-03-02,785.3,805.9,780.9,804.3,804.3,350482,0.0000,1.0
2023-03-01,803.3,810.5,790.9,792.2,792.2,379198,0.0000,1.0
2023-02-28,790.0,795.8,787.4,789.0,789.0,440118,0.0000,1.0
2023-02-27,788.3,800.2,787.6,794.8,794.8,312317,0.0000,1.0
2023-02-24,811.4,812.7,777.3,777.3,777.3,839007,0.0000,1.0
2023-02-23,809.7,814.3,806.6,809.0,809.0,273432,0.0000,1.0
2023-02-22,801.4,812.1,793.9,809.5,809.5,289482,0.0000,1.0
2023-02-21,808.6,812.3,798.5,808.9,808.9,264826,0.0000,1.0
2023-02-20,820.5,820.5,810.1,813.6,813.6,168536,0.0000,1.0
2023-02-17,814.2,823.6,804.6,818.4,818.4,439757,0.0000,1.0
2023-02-16,821.8,829.2,818.1,823.3,823.3,314812,0.0000,1.0
2023-02-15,809.3,830.0,807.6,822.6,822.6,378844,0.0000,1.0
2023-02-14,811.3,817.6,804.5,810.5,810.5,263811,0.0000,1.0
2023-02-13,800.5,812.9,798.0,810.3,810.3,244265,0.0000,1.0
2023-02-10,804.7,808.0,790.8,797.6,797.6,395687,0.0000,1.0
2023-02-09,807.7,813.8,806.9,809.2,809.2,275408,0.0000,1.0
2023-02-08,814.3,818.1,798.5,800.1,800.1,319321,0.0000,1.0
2023-02-07,812.6,814.0,800.7,807.4,807.4,340198,0.0000,1.0
2023-02-06,820.2,825.7,807.4,814.2,814.2,289604,0.0000,1.0
2023-02-03,807.0,830.5,804.5,829.4,829.4,505251,0.0000,1.0
2023-02-02,798.3,812.8,795.3,809.1,809.1,403666,0.0000,1.0
2023-02-01,800.0,802.1,792.2,795.5,795.5,292831,0.0000,1.0
2023-01-31,797.4,802.6,792.6,800.0,800.0,334681,0.0000,1.0
2023-01-30,791.8,799.7,786.7,798.8,798.8,296812,0.0000,1.0
2023-01-27,785.6,808.2,783.7,801.0,801.0,508869,0.0000,1.0
2023-01-26,797.1,804.2,794.5,801.6,801.6,308282,0.0000,1.0
2023-01-25,793.5,799.7,787.1,792.3,792.3,282357,0.0000,1.0
2023-01-24,790.3,795.3,786.1,794.8,794.8,325598,0.0000,1.0
2023-01-23,786.8,791.1,776.6,788.1,788.1,244069,0.0000,1.0
2023-01-20,783.0,789.8,775.0,782.8,782.8,430218,0.0000,1.0
2023-01-19,798.7,799.6,774.7,776.6,776.6,493048,0.0000,1.0
2023-01-18,789.7,805.8,787.2,801.9,801.9,425156,0.0000,1.0
2023-01-17,789.3,803.3,787.0,797.4,797.4,388436,0.0000,1.0
2023-01-16,788.2,793.8,782.0,792.7,792.7,278890,0.0000,1.0
