,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2023-04-14,13.83,13.89,12.75,13.48,13.48,30831221,0.0000,1.0
2023-04-13,12.69,13.86,12.68,13.5,13.5,44153764,0.0000,1.0
2023-04-12,12.26,13.15,11.95,12.35,12.35,48039073,0.0000,1.0
2023-04-11,10.99,12.55,10.8,12.38,12.38,55029303,0.0000,1.0
2023-04-10,9.17,10.62,8.94,10.58,10.58,30153893,0.0000,1.0
2023-04-06,8.971,9.39,8.7601,9.16,9.16,12719058,0.0000,1.0
2023-04-05,9.64,9.75,9.01,9.15,9.15,15953294,0.0000,1.0
2023-04-04,9.82,9.93,9.23,9.56,9.56,14720264,0.0000,1.0
2023-04-03,9.81,9.95,9.24,9.67,9.67,17409590,0.0000,1.0
2023-03-31,9.25,10.1,9.142,9.99,9.99,26859556,0.0000,1.0
2023-03-30,9.41,9.54,9.05,9.14,9.14,18406927,0.0000,1.0
2023-03-29,8.54,9.24,8.46,9.23,9.23,23697549,0.0000,1.0
2023-03-28,7.92,8.305,7.66,8.11,8.11,15540788,0.0000,1.0
2023-03-27,8.74,8.745,7.91,8.04,8.04,16539879,0.0000,1.0
2023-03-24,9.21,9.25,8.35,8.63,8.63,26442434,0.0000,1.0
2023-03-23,8.315,9.72,8.245,9.47,9.47,31925100,0.0000,1.0
2023-03-22,9.1,9.39,8.04,8.1,8.1,30841542,0.0000,1.0
2023-03-21,8.47,9.17,8.37,9.07,9.07,25618622,0.0000,1.0
2023-03-20,8.63,8.76,8.03,8.55,8.55,29574858,0.0000,1.0
2023-03-17,7.58,8.46,7.175,8.1,8.1,40834385,0.0000,1.0
2023-03-16,6.75,7.13,6.6193,7.05,7.05,13055100,0.0000,1.0
2023-03-15,6.82,7.08,6.35,6.69,6.69,16290979,0.0000,1.0
2023-03-14,6.79,7.27,6.57,6.89,6.89,30018798,0.0000,1.0
2023-03-13,5.51,6.35,5.33,6.25,6.25,23685795,0.0000,1.0
2023-03-10,5.46,5.63,5.16,5.3,5.3,11779982,0.0000,1.0
2023-03-09,6.19,6.3,5.51,5.53,5.53,12832947,0.0000,1.0
2023-03-08,6.17,6.39,6.07,6.3,6.3,8662267,0.0000,1.0
2023-03-07,6.33,6.53,6.15,6.17,6.17,8767706,0.0000,1.0
2023-03-06,6.37,6.88,6.1699,6.37,6.37,13040491,0.0000,1.0
2023-03-03,5.975,6.48,5.83,6.34,6.34,13744620,0.0000,1.0
2023-03-02,5.99,6.27,5.77,6.18,6.18,10207939,0.0000,1.0
2023-03-01,6.38,6.4295,6.069,6.14,6.14,10997125,0.0000,1.0
2023-02-28,6.02,6.52,5.93,6.25,6.25,12476445,0.0000,1.0
2023-02-27,6.04,6.12,5.87,6.01,6.01,7351132,0.0000,1.0
2023-02-24,6.17,6.22,5.73,5.87,5.87,12051533,0.0000,1.0
2023-02-23,6.45,6.54,6.14,6.37,6.37,11009283,0.0000,1.0
2023-02-22,6.19,6.4495,6.0,6.35,6.35,13407658,0.0000,1.0
2023-02-21,6.475,6.8,6.18,6.22,6.22,12728530,0.0000,1.0
2023-02-17,6.35,6.7,6.13,6.59,6.59,19224685,0.0000,1.0
2023-02-16,6.57,7.25,6.35,6.36,6.36,22825257,0.0000,1.0
2023-02-15,6.04,6.79,5.955,6.66,6.66,20418733,0.0000,1.0
2023-02-14,5.42,6.0092,5.32,5.9,5.9,13904921,0.0000,1.0
2023-02-13,5.32,5.54,5.18,5.47,5.47,7623802,0.0000,1.0
2023-02-10,5.65,5.74,5.42,5.51,5.51,9880240,0.0000,1.0
2023-02-09,6.605,6.65,5.63,5.65,5.65,17176038,0.0000,1.0
2023-02-08,6.5,7.0383,6.44,6.52,6.52,14973118,0.0000,1.0
2023-02-07,6.7,6.7,6.18,6.6,6.6,18661523,0.0000,1.0
2023-02-06,6.69,6.8178,6.38,6.68,6.68,13765037,0.0000,1.0
2023-02-03,7.1,7.77,6.8,6.84,6.84,18986626,0.0000,1.0
2023-02-02,7.22,7.78,7.03,7.49,7.49,27398544,0.0000,1.0
2023-02-01,6.24,6.95,6.06,6.86,6.86,18687942,0.0000,1.0
2023-01-31,6.06,6.32,5.95,6.27,6.27,14011247,0.0000,1.0
2023-01-30,6.27,6.84,5.92,5.94,5.94,18810676,0.0000,1.0
2023-01-27,6.03,6.39,5.95,6.33,6.33,11799338,0.0000,1.0
2023-01-26,6.46,6.58,6.06,6.13,6.13,11489535,0.0000,1.0
2023-01-25,5.85,6.275,5.7,6.23,6.23,12212979,0.0000,1.0
2023-01-24,6.32,6.62,6.11,6.14,6.14,21428806,0.0000,1.0
2023-01-23,6.23,6.63,6.03,6.48,6.48,23506125,0.0000,1.0
2023-01-20,5.85,6.22,5.62,6.2,6.2,19912289,0.0000,1.0
2023-01-19,5.62,5.885,5.52,5.78,5.78,13255754,0.0000,1.0
2023-01-18,6.45,6.63,5.64,5.71,5.71,23793056,0.0000,1.0
2023-01-17,6.58,6.62,5.89,6.41,6.41,27444569,0.0000,1.0
2023-01-13,5.94,6.495,5.86,6.02,6.02,29524836,0.0000,1.0
2023-01-12,5.71,6.16,5.265,6.15,6.15,27692835,0.0000,1.0
2023-01-11,5.52,5.8851,5.21,5.37,5.37,19031776,0.0000,1.0
2023-01-10,4.88,5.67,4.7,5.64,5.64,22171720,0.0000,1.0
2023-01-09,4.48,5.23,4.4535,4.89,4.89,20809356,0.0000,1.0
2023-01-06,4.12,4.35,3.96,4.28,4.28,10412921,0.0000,1.0
2023-01-05,3.86,4.277,3.7,4.22,4.22,14097018,0.0000,1.0
2023-01-04,3.44,3.95,3.38,3.88,3.88,12325343,0.0000,1.0
2023-01-03,3.49,3.67,3.3,3.37,3.37,7255611,0.0000,1.0
2022-12-30,3.33,3.42,3.28,3.39,3.39,6592803,0.0000,1.0
2022-12-29,3.36,3.51,3.2895,3.42,3.42,6773817,0.0000,1.0
2022-12-28,3.38,3.5,3.25,3.29,3.29,6616585,0.0000,1.0
2022-12-27,3.64,3.66,3.41,3.42,3.42,6356141,0.0000,1.0
2022-12-23,3.775,3.8,3.64,3.68,3.68,4805281,0.0000,1.0
2022-12-22,3.77,3.82,3.65,3.78,3.78,6059568,0.0000,1.0
2022-12-21,3.84,3.91,3.7,3.83,3.83,6217839,0.0000,1.0
2022-12-20,3.805,4.03,3.72,3.83,3.83,7193507,0.0000,1.0
2022-12-19,3.74,3.85,3.6,3.82,3.82,7043275,0.0000,1.0
2022-12-16,3.92,4.01,3.67,3.8,3.8,16122077,0.0000,1.0
2022-12-15,4.05,4.09,3.875,4.02,4.02,9195598,0.0000,1.0
2022-12-14,4.17,4.28,4.035,4.15,4.15,10348362,0.0000,1.0
2022-12-13,4.51,4.64,4.04,4.07,4.07,12270480,0.0000,1.0
2022-12-12,4.17,4.2617,4.07,4.17,4.17,6457829,0.0000,1.0
2022-12-09,4.33,4.38,4.13,4.19,4.19,6525131,0.0000,1.0
2022-12-08,4.2799,4.455,4.15,4.37,4.37,8121265,0.0000,1.0
2022-12-07,4.345,4.39,4.12,4.22,4.22,7975642,0.0000,1.0
2022-12-06,4.67,4.69,4.27,4.38,4.38,8357850,0.0000,1.0
2022-12-05,5.01,5.13,4.58,4.66,4.66,12616517,0.0000,1.0
2022-12-02,4.51,4.975,4.45,4.96,4.96,8315252,0.0000,1.0
2022-12-01,4.68,4.7599,4.46,4.58,4.58,7730637,0.0000,1.0
2022-11-30,4.37,4.67,4.19,4.65,4.65,10902525,0.0000,1.0
2022-11-29,4.27,4.38,4.2,4.24,4.24,5427691,0.0000,1.0
2022-11-28,4.242,4.46,4.19,4.25,4.25,10639464,0.0000,1.0
2022-11-25,4.38,4.47,4.25,4.43,4.43,7243764,0.0000,1.0
2022-11-23,4.055,4.435,4.01,4.42,4.42,17725254,0.0000,1.0
2022-11-22,4.155,4.16,3.91,3.99,3.99,13866548,0.0000,1.0
2022-11-21,4.34,4.43,3.97,3.98,3.98,18020061,0.0000,1.0
2022-11-18,4.72,4.72,4.41,4.46,4.46,9665872,0.0000,1.0
2022-11-17,4.69,4.7496,4.52,4.63,4.63,9252096,0.0000,1.0
2022-11-16,5.06,5.15,4.64,4.66,4.66,13186116,0.0000,1.0
2022-11-15,5.33,5.47,5.14,5.22,5.22,10610557,0.0000,1.0
2022-11-14,5.295,5.42,5.11,5.14,5.14,10754367,0.0000,1.0
2022-11-11,5.095,5.4,4.94,5.34,5.34,18159133,0.0000,1.0
2022-11-10,5.24,5.56,5.06,5.42,5.42,16682103,0.0000,1.0
2022-11-09,4.975,5.19,4.825,4.9,4.9,22550941,0.0000,1.0
2022-11-08,5.34,5.81,4.96,5.33,5.33,27140187,0.0000,1.0
2022-11-07,5.835,5.87,5.5707,5.75,5.75,8103708,0.0000,1.0
2022-11-04,5.845,5.9408,5.49,5.79,5.79,16705753,0.0000,1.0
2022-11-03,5.78,5.985,5.5,5.51,5.51,11348048,0.0000,1.0
2022-11-02,6.47,6.52,5.85,5.87,5.87,13266191,0.0000,1.0
2022-11-01,7.11,7.15,6.45,6.45,6.45,8151180,0.0000,1.0
2022-10-31,7.05,7.13,6.7701,6.89,6.89,7763994,0.0000,1.0
2022-10-28,6.85,7.0699,6.63,7.05,7.05,10109504,0.0000,1.0
2022-10-27,7.23,7.35,6.825,6.84,6.84,11737605,0.0000,1.0
2022-10-26,6.85,7.675,6.82,7.06,7.06,19524691,0.0000,1.0
2022-10-25,6.02,7.05,6.02,7.01,7.01,14727349,0.0000,1.0
2022-10-24,5.83,6.14,5.58,6.05,6.05,9463643,0.0000,1.0
2022-10-21,5.52,5.85,5.38,5.83,5.83,7585209,0.0000,1.0
2022-10-20,5.615,5.93,5.57,5.58,5.58,6953332,0.0000,1.0
2022-10-19,5.82,5.89,5.61,5.67,5.67,8018302,0.0000,1.0
2022-10-18,6.3,6.405,5.83,5.87,5.87,8974850,0.0000,1.0
2022-10-17,6.01,6.2493,6.01,6.04,6.04,7718500,0.0000,1.0
2022-10-14,6.49,6.61,5.73,5.76,5.76,9923436,0.0000,1.0
2022-10-13,5.72,6.43,5.54,6.39,6.39,12928054,0.0000,1.0
2022-10-12,6.17,6.285,5.9721,6.14,6.14,8161804,0.0000,1.0
2022-10-11,6.3,6.45,5.96,6.19,6.19,7776126,0.0000,1.0
2022-10-10,6.57,6.61,6.2,6.39,6.39,5396333,0.0000,1.0
2022-10-07,6.98,6.98,6.44,6.565,6.565,7812356,0.0000,1.0
2022-10-06,7.23,7.5,7.06,7.16,7.16,9599128,0.0000,1.0
2022-10-05,7.39,7.41,6.98,7.25,7.25,9075995,0.0000,1.0
2022-10-04,7.54,7.775,7.315,7.59,7.59,12475370,0.0000,1.0
2022-10-03,7.07,7.2681,6.86,7.19,7.19,9449373,0.0000,1.0
2022-09-30,6.96,7.64,6.88,7.01,7.01,12754065,0.0000,1.0
2022-09-29,7.03,7.13,6.7,7.09,7.09,8883342,0.0000,1.0
2022-09-28,6.72,7.405,6.6808,7.34,7.34,10178365,0.0000,1.0
2022-09-27,7.02,7.15,6.5507,6.83,6.83,12296070,0.0000,1.0
2022-09-26,6.42,6.985,6.4,6.7,6.7,10034243,0.0000,1.0
2022-09-23,6.01,6.345,5.9217,6.33,6.33,8991803,0.0000,1.0
2022-09-22,6.37,6.44,6.085,6.34,6.34,8855511,0.0000,1.0
2022-09-21,6.23,6.81,6.15,6.37,6.37,13734218,0.0000,1.0
2022-09-20,6.46,6.5,6.18,6.22,6.22,8247767,0.0000,1.0
2022-09-19,6.45,6.7,6.36,6.52,6.52,10978894,0.0000,1.0
2022-09-16,7.2,7.2,6.63,6.645,6.645,15063876,0.0000,1.0
2022-09-15,7.45,7.97,7.311,7.38,7.38,10339750,0.0000,1.0
2022-09-14,7.62,7.665,7.4,7.56,7.56,9128143,0.0000,1.0
2022-09-13,7.7,8.1591,7.6,7.63,7.63,12389814,0.0000,1.0
2022-09-12,8.51,8.67,8.15,8.47,8.47,14061416,0.0000,1.0
2022-09-09,8.0,8.33,7.8511,8.26,8.26,16566366,0.0000,1.0
2022-09-08,6.47,7.49,6.35,7.46,7.46,19282907,0.0000,1.0
2022-09-07,6.31,6.58,6.15,6.55,6.55,11032904,0.0000,1.0
2022-09-06,6.66,6.87,6.28,6.4,6.4,16510546,0.0000,1.0
2022-09-02,7.0,7.06,6.55,6.63,6.63,11208572,0.0000,1.0
2022-09-01,6.96,7.06,6.51,6.85,6.85,10871934,0.0000,1.0
2022-08-31,6.94,7.27,6.85,7.17,7.17,12051690,0.0000,1.0
2022-08-30,7.03,7.22,6.605,6.89,6.89,10393274,0.0000,1.0
2022-08-29,6.62,7.185,6.59,6.97,6.97,10758636,0.0000,1.0
2022-08-26,7.5,7.555,6.77,6.79,6.79,13330822,0.0000,1.0
2022-08-25,7.35,7.54,7.12,7.43,7.43,8564842,0.0000,1.0
2022-08-24,7.21,7.59,7.1302,7.29,7.29,9891749,0.0000,1.0
2022-08-23,7.02,7.57,7.02,7.1,7.1,11776185,0.0000,1.0
2022-08-22,6.95,7.2165,6.815,7.0,7.0,12456435,0.0000,1.0
2022-08-19,7.58,7.8,7.22,7.25,7.25,14486346,0.0000,1.0
2022-08-18,8.65,8.65,8.21,8.28,8.28,8857407,0.0000,1.0
2022-08-17,8.949,9.0,8.21,8.35,8.35,16838127,0.0000,1.0
2022-08-16,9.54,9.79,8.8,9.17,9.17,19974041,0.0000,1.0
2022-08-15,9.875,10.23,9.57,9.76,9.76,17073687,0.0000,1.0
2022-08-12,9.56,10.05,9.17,9.93,9.93,15406524,0.0000,1.0
2022-08-11,9.85,10.5188,9.37,9.52,9.52,29448963,0.0000,1.0
2022-08-10,8.75,9.16,8.15,9.11,9.11,23195979,0.0000,1.0
2022-08-09,8.52,8.525,7.7901,8.145,8.145,15040985,0.0000,1.0
2022-08-08,8.77,9.11,8.58,8.71,8.71,16462222,0.0000,1.0
2022-08-05,8.155,8.67,8.05,8.27,8.27,14090282,0.0000,1.0
2022-08-04,8.22,8.83,8.06,8.18,8.18,20818482,0.0000,1.0
2022-08-03,7.97,8.4,7.85,8.12,8.12,19769644,0.0000,1.0
2022-08-02,7.19,8.0962,7.12,7.75,7.75,16035884,0.0000,1.0
2022-08-01,7.13,7.55,6.975,7.33,7.33,13572126,0.0000,1.0
2022-07-29,7.24,7.7427,7.08,7.32,7.32,14528861,0.0000,1.0
2022-07-28,7.17,7.6,6.91,7.4,7.4,19580977,0.0000,1.0
2022-07-27,6.54,7.33,6.2614,7.15,7.15,18717922,0.0000,1.0
2022-07-26,6.35,6.5095,6.02,6.21,6.21,11404093,0.0000,1.0
2022-07-25,6.84,7.0599,6.57,6.65,6.65,13600571,0.0000,1.0
2022-07-22,7.87,7.93,7.06,7.12,7.12,18291857,0.0000,1.0
2022-07-21,6.78,7.639,6.7,7.62,7.62,27389139,0.0000,1.0
2022-07-20,7.24,7.48,6.81,7.02,7.02,45561818,0.0000,1.0
