,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2023-04-14,101.48,103.04,101.32,102.04,102.04,1490957,0.0000,1.0
2023-04-13,101.56,101.96,101.24,101.76,101.76,1370281,0.0000,1.0
2023-04-12,101.88,102.56,101.0,101.84,101.84,1620015,0.0000,1.0
2023-04-11,100.52,102.5,100.02,101.5,101.5,2255782,0.0000,1.0
2023-04-06,101.26,103.0,101.16,102.44,102.44,2147398,0.0000,1.0
2023-04-05,99.33,101.52,99.02,101.4,101.4,2447102,0.0000,1.0
2023-04-04,100.12,100.34,99.4,99.6,99.6,1749454,0.0000,1.0
2023-04-03,100.0,100.68,99.54,99.64,99.64,1684189,0.0000,1.0
2023-03-31,99.43,100.3,98.92,100.24,100.24,2218927,0.0000,1.0
2023-03-30,100.46,101.14,99.03,99.43,99.43,1989887,0.0000,1.0
2023-03-29,99.68,101.12,99.43,101.0,101.0,2074410,0.0000,1.0
2023-03-28,98.43,100.22,98.04,100.0,100.0,1816182,0.0000,1.0
2023-03-27,99.28,99.7,97.81,98.44,98.44,2402248,0.0000,1.0
2023-03-24,96.0,97.1,95.15,97.1,97.1,2726397,0.0000,1.0
2023-03-23,94.0,96.21,93.67,95.84,95.84,3630980,0.0000,1.0
2023-03-22,89.96,91.04,89.53,90.86,90.86,1232647,0.0000,1.0
2023-03-21,90.0,90.96,89.8,90.18,90.18,1449009,0.0000,1.0
2023-03-20,89.72,90.23,88.93,89.46,89.46,2119074,0.0000,1.0
2023-03-17,90.15,90.82,89.22,89.8,89.8,5122220,0.0000,1.0
2023-03-16,89.73,90.64,89.4,90.23,90.23,2491448,0.0000,1.0
2023-03-15,89.5,90.5,88.71,89.77,89.77,2862208,0.0000,1.0
2023-03-14,88.43,89.12,87.99,88.98,88.98,1572803,0.0000,1.0
2023-03-13,88.92,89.21,87.81,88.03,88.03,2203778,0.0000,1.0
2023-03-10,90.0,90.31,88.88,89.55,89.55,1447393,0.0000,1.0
2023-03-09,89.92,90.61,89.54,89.88,89.88,1031889,0.0000,1.0
2023-03-08,89.9,90.24,89.72,89.79,89.79,1145608,0.0000,1.0
2023-03-07,89.22,90.57,89.2,89.96,89.96,1399854,0.0000,1.0
2023-03-06,89.55,89.55,88.96,89.18,89.18,1067861,0.0000,1.0
2023-03-03,89.38,89.57,88.72,89.18,89.18,1269252,0.0000,1.0
2023-03-02,87.74,89.22,87.42,89.2,89.2,1091734,0.0000,1.0
2023-03-01,88.81,88.95,87.83,88.35,88.35,1208685,0.0000,1.0
2023-02-28,90.02,90.4,88.84,88.89,88.89,2254551,0.0000,1.0
2023-02-27,89.73,91.18,89.45,90.55,90.55,1350033,0.0000,1.0
2023-02-24,91.05,92.12,89.91,89.91,89.91,3101892,0.0000,1.0
2023-02-23,90.5,90.62,89.44,90.11,90.11,1342515,0.0000,1.0
2023-02-22,89.73,90.52,89.36,90.15,90.15,1309002,0.0000,1.0
2023-02-21,89.07,89.83,88.82,89.45,89.45,976151,0.0000,1.0
2023-02-20,89.25,89.42,88.76,89.11,89.11,661454,0.0000,1.0
2023-02-17,87.6,89.46,87.44,89.1,89.1,2143503,0.0000,1.0
2023-02-16,88.24,88.68,87.63,87.85,87.85,1124086,0.0000,1.0
2023-02-15,88.38,88.83,87.97,88.64,88.64,1219613,0.0000,1.0
2023-02-14,88.11,88.87,88.05,88.11,88.11,1284600,0.0000,1.0
2023-02-13,88.52,89.15,87.4,87.65,87.65,1595060,0.0000,1.0
2023-02-10,89.21,89.61,88.22,88.7,88.7,1621596,0.0000,1.0
2023-02-09,88.89,89.73,88.89,89.2,89.2,1682058,0.0000,1.0
2023-02-08,87.5,89.04,87.47,88.51,88.51,1939971,0.0000,1.0
2023-02-07,85.56,87.29,85.2,87.29,87.29,1805721,0.0000,1.0
2023-02-06,85.0,85.32,83.9,84.91,84.91,2318888,0.0000,1.0
2023-02-03,84.75,86.34,82.25,85.14,85.14,4394526,0.0000,1.0
2023-02-02,88.7,88.74,86.47,86.77,86.77,2421074,0.0000,1.0
2023-02-01,90.42,90.61,88.42,88.7,88.7,1614583,0.0000,1.0
2023-01-31,89.77,90.62,89.02,89.67,89.67,2218706,0.0000,1.0
2023-01-30,89.12,90.24,88.89,89.79,89.79,1235322,0.0000,1.0
2023-01-27,89.85,90.03,89.07,89.55,89.55,1665613,0.0000,1.0
2023-01-26,89.8,91.08,89.72,89.72,89.72,1592507,0.0000,1.0
2023-01-25,89.64,90.01,89.1,89.91,89.91,1249490,0.0000,1.0
2023-01-24,89.94,90.14,88.89,89.38,89.38,1539617,0.0000,1.0
2023-01-23,90.28,90.53,89.4,89.93,89.93,1574268,0.0000,1.0
2023-01-20,91.49,91.49,90.47,90.73,90.73,1686316,0.0000,1.0
2023-01-19,91.01,92.05,90.46,91.25,91.25,2102392,0.0000,1.0
2023-01-18,91.91,91.95,90.87,91.33,91.33,1822885,0.0000,1.0
2023-01-17,91.75,92.1,91.41,91.9,91.9,1377559,0.0000,1.0
2023-01-16,91.21,91.89,91.05,91.85,91.85,1026951,0.0000,1.0
2023-01-13,90.47,91.72,90.3,91.18,91.18,1397943,0.0000,1.0
2023-01-12,90.66,91.29,89.18,90.3,90.3,1884093,0.0000,1.0
2023-01-11,90.81,90.93,89.92,90.07,90.07,2102732,0.0000,1.0
2023-01-10,90.17,91.32,89.83,90.07,90.07,1700311,0.0000,1.0
2023-01-09,90.69,90.88,89.44,90.44,90.44,1904486,0.0000,1.0
2023-01-06,90.33,91.14,89.54,91.12,91.12,1356767,0.0000,1.0
2023-01-05,91.86,91.86,90.11,90.35,90.35,1939509,0.0000,1.0
2023-01-04,92.08,93.36,91.98,92.27,92.27,1934459,0.0000,1.0
2023-01-03,91.4,92.46,90.47,92.33,92.33,1793153,0.0000,1.0
2023-01-02,90.68,92.12,90.16,91.68,91.68,1118828,0.0000,1.0
2022-12-30,90.52,90.76,89.84,89.84,89.84,1077867,0.0000,1.0
2022-12-29,90.05,91.1,89.51,90.98,90.98,1018239,0.0000,1.0
2022-12-28,90.44,90.44,89.74,89.94,89.94,1123827,0.0000,1.0
2022-12-27,91.49,91.57,90.33,90.41,90.41,845530,0.0000,1.0
2022-12-23,91.03,91.51,90.3,90.98,90.98,957931,0.0000,1.0
2022-12-22,91.09,91.44,90.61,91.29,91.29,1328211,0.0000,1.0
2022-12-21,89.13,91.83,89.05,91.09,91.09,1933926,0.0000,1.0
2022-12-20,88.27,88.99,87.82,88.81,88.81,1199576,0.0000,1.0
2022-12-19,88.5,89.06,87.95,88.76,88.76,1642439,0.0000,1.0
2022-12-16,88.71,88.71,87.26,87.62,87.62,3659560,0.0000,1.0
2022-12-15,90.33,90.86,88.77,88.93,88.93,2471071,0.0000,1.0
2022-12-14,88.74,90.14,88.48,90.02,90.02,1787846,0.0000,1.0
2022-12-13,88.44,89.73,87.96,88.93,88.93,1917327,0.0000,1.0
2022-12-12,90.0,90.84,88.36,88.52,88.52,1818186,0.0000,1.0
2022-12-09,89.0,89.22,87.94,88.73,88.73,1732258,0.0000,1.0
2022-12-08,91.25,91.5,88.52,89.0,89.0,1950364,0.0000,1.0
2022-12-07,92.5,92.9,89.86,90.6,90.6,4003891,0.0000,1.0
2022-12-06,86.08,86.54,85.35,85.39,85.39,1602061,0.0000,1.0
2022-12-05,85.69,86.75,85.03,85.94,85.94,1327361,0.0000,1.0
2022-12-02,87.1,87.24,85.24,85.77,85.77,2171045,0.0000,1.0
2022-12-01,86.68,87.53,86.19,87.45,87.45,1521268,0.0000,1.0
2022-11-30,87.83,88.13,85.18,86.48,86.48,4271490,0.0000,1.0
2022-11-29,88.06,89.19,87.82,88.19,88.19,1821914,0.0000,1.0
2022-11-28,87.83,88.24,87.1,87.89,87.89,1688132,0.0000,1.0
2022-11-25,86.77,87.6,86.75,87.54,87.54,1257294,0.0000,1.0
2022-11-24,86.29,87.27,86.23,87.0,87.0,842417,0.0000,1.0
2022-11-23,87.36,87.53,86.17,86.55,86.55,1390900,0.0000,1.0
2022-11-22,87.09,88.07,86.96,87.27,87.27,1746593,0.0000,1.0
2022-11-21,86.24,87.32,85.91,87.18,87.18,1373450,0.0000,1.0
2022-11-18,84.38,86.43,84.28,86.04,86.04,2633889,0.0000,1.0
2022-11-17,84.89,84.93,83.21,84.5,84.5,1466776,0.0000,1.0
2022-11-16,84.58,85.34,84.24,84.72,84.72,1991148,0.0000,1.0
2022-11-15,83.88,85.65,83.5,84.63,84.63,1890229,0.0000,1.0
2022-11-14,82.99,85.21,82.63,84.09,84.09,2297060,0.0000,1.0
2022-11-11,86.35,86.7,81.93,82.43,82.43,3441305,0.0000,1.0
2022-11-10,86.77,88.34,86.48,86.97,86.97,2380732,0.0000,1.0
2022-11-09,86.18,86.96,86.09,86.84,86.84,1452388,0.0000,1.0
2022-11-08,86.64,86.88,85.66,86.45,86.45,1273202,0.0000,1.0
2022-11-07,87.3,87.47,85.97,86.79,86.79,1644056,0.0000,1.0
2022-11-04,87.55,88.27,87.0,87.88,87.88,1833201,0.0000,1.0
2022-11-03,87.65,88.06,86.5,87.4,87.4,1444077,0.0000,1.0
2022-11-02,87.24,87.98,86.98,87.33,87.33,1468525,0.0000,1.0
2022-11-01,87.25,87.51,86.36,86.85,86.85,1375628,0.0000,1.0
2022-10-31,86.69,88.06,86.31,87.33,87.33,2085496,0.0000,1.0
2022-10-28,83.95,86.82,83.86,86.2,86.2,2347299,0.0000,1.0
2022-10-27,83.2,83.9,83.05,83.49,83.49,1843989,0.0000,1.0
2022-10-26,82.7,83.43,82.33,83.34,83.34,2043165,0.0000,1.0
2022-10-25,82.82,82.91,81.95,82.29,82.29,1384225,0.0000,1.0
2022-10-24,81.77,82.67,81.65,82.19,82.19,1590944,0.0000,1.0
2022-10-21,81.06,81.85,80.77,81.57,81.57,1574948,0.0000,1.0
2022-10-20,81.33,81.33,80.54,80.81,80.81,1831346,0.0000,1.0
2022-10-19,81.92,82.44,80.93,80.93,80.93,1762222,0.0000,1.0
2022-10-18,82.57,82.98,81.71,81.71,81.71,1644992,0.0000,1.0
2022-10-17,81.67,82.49,81.27,82.12,82.12,1588803,0.0000,1.0
2022-10-14,82.15,82.42,81.3,81.57,81.57,2097116,0.0000,1.0
2022-10-13,80.5,81.59,80.07,81.23,81.23,2027295,0.0000,1.0
2022-10-12,81.89,82.06,80.68,81.39,81.39,1637429,0.0000,1.0
2022-10-11,80.16,81.81,79.99,81.81,81.81,1871953,0.0000,1.0
2022-10-10,79.79,80.33,79.22,80.08,80.08,1412416,0.0000,1.0
2022-10-07,78.99,80.78,78.97,80.16,80.16,1746654,0.0000,1.0
2022-10-06,79.83,80.48,78.9,79.33,79.33,1624014,0.0000,1.0
2022-10-05,80.47,80.72,79.85,80.37,80.37,1511936,0.0000,1.0
2022-10-04,80.2,80.97,79.55,80.01,80.01,2525503,0.0000,1.0
2022-10-03,77.63,79.8,77.1,79.8,79.8,2182024,0.0000,1.0
2022-09-30,77.91,79.13,77.78,78.4,78.4,2300773,0.0000,1.0
2022-09-29,78.22,78.53,77.26,77.84,77.84,2766573,0.0000,1.0
2022-09-28,77.64,79.43,77.38,78.71,78.71,2348869,0.0000,1.0
2022-09-27,77.81,78.13,77.13,77.45,77.45,1683018,0.0000,1.0
2022-09-26,78.38,79.05,77.01,77.44,77.44,1938082,0.0000,1.0
2022-09-23,79.57,79.91,77.21,78.81,78.81,2352456,0.0000,1.0
2022-09-22,78.75,79.96,78.34,78.85,78.85,1797109,0.0000,1.0
2022-09-21,79.75,80.27,79.05,79.09,79.09,1503848,0.0000,1.0
2022-09-20,80.56,80.81,79.55,79.77,79.77,1685261,0.0000,1.0
2022-09-19,81.44,81.53,80.19,80.34,80.34,1560656,0.0000,1.0
2022-09-16,81.72,82.6,80.38,81.86,81.86,4782712,0.0000,1.0
2022-09-15,80.29,81.8,80.25,81.6,81.6,1805593,0.0000,1.0
2022-09-14,81.58,81.84,80.37,80.69,80.69,1593522,0.0000,1.0
2022-09-13,82.68,82.98,81.17,81.48,81.48,1535437,0.0000,1.0
2022-09-12,81.2,82.43,80.81,82.43,82.43,1624741,0.0000,1.0
2022-09-09,80.58,81.9,80.55,81.2,81.2,1448392,0.0000,1.0
2022-09-08,81.03,81.17,79.66,80.56,80.56,1466083,0.0000,1.0
2022-09-07,80.4,81.18,79.85,80.61,80.61,1521325,0.0000,1.0
2022-09-06,80.51,81.02,80.01,80.55,80.55,1280098,0.0000,1.0
2022-09-05,80.6,81.17,80.13,80.76,80.76,1121593,0.0000,1.0
2022-09-02,81.41,81.87,80.12,81.44,81.44,1437283,0.0000,1.0
2022-09-01,81.1,81.74,80.25,81.16,81.16,1842502,0.0000,1.0
2022-08-31,81.92,83.58,81.42,82.18,82.18,3193547,0.0000,1.0
2022-08-30,81.1,83.06,81.06,82.6,82.6,1922301,0.0000,1.0
2022-08-29,80.84,82.3,80.82,81.41,81.41,1478202,0.0000,1.0
2022-08-26,82.69,83.18,81.86,81.89,81.89,2575517,0.0000,1.0
2022-08-25,81.72,81.91,80.12,80.45,80.45,1739939,0.0000,1.0
2022-08-24,81.15,81.87,80.6,81.35,81.35,1797246,0.0000,1.0
2022-08-23,82.52,83.46,81.5,81.5,81.5,2314820,0.0000,1.0
2022-08-22,82.07,82.98,81.5,82.98,82.98,1967499,0.0000,1.0
2022-08-19,81.55,82.6,81.07,81.66,81.66,2729800,0.0000,1.0
2022-08-18,82.2,82.93,81.2,81.72,81.72,2346752,0.0000,1.0
2022-08-17,86.48,86.72,81.67,81.67,81.67,4089066,0.0000,1.0
2022-08-16,85.67,87.58,85.42,86.59,86.59,2100103,0.0000,1.0
2022-08-15,85.9,86.45,84.5,85.12,85.12,1697193,0.0000,1.0
2022-08-12,86.51,87.46,83.81,85.46,85.46,4194600,0.0000,1.0
2022-08-11,88.5,88.6,76.45,84.75,84.75,11094200,0.0000,1.0
2022-08-10,95.68,96.1,87.67,87.67,87.67,5344328,0.0000,1.0
2022-08-09,95.23,95.77,94.71,95.48,95.48,1911553,0.0000,1.0
2022-08-08,97.52,97.65,95.71,96.85,96.85,1450397,0.0000,1.0
2022-08-05,96.33,97.56,95.31,97.51,97.51,1421994,0.0000,1.0
2022-08-04,97.12,97.96,96.33,96.33,96.33,1607619,0.0000,1.0
2022-08-03,96.05,98.55,95.02,96.76,96.76,2160107,0.0000,1.0
2022-08-02,95.1,97.58,94.89,96.95,96.95,1982605,0.0000,1.0
2022-08-01,97.04,97.94,94.38,94.5,94.5,2055957,0.0000,1.0
2022-07-29,100.56,100.58,97.09,97.21,97.21,2712341,0.0000,1.0
2022-07-28,100.5,100.88,98.13,98.6,98.6,1423616,0.0000,1.0
2022-07-27,99.57,100.08,98.45,98.76,98.76,1318648,0.0000,1.0
2022-07-26,98.15,99.78,98.05,99.6,99.6,1353737,0.0000,1.0
2022-07-25,97.43,98.68,97.13,98.05,98.05,1031202,0.0000,1.0
2022-07-22,97.22,97.85,96.77,97.36,97.36,1715941,0.0000,1.0
2022-07-21,98.1,99.01,96.32,97.72,97.72,1767005,0.0000,1.0
2022-07-20,101.0,101.24,98.72,98.84,98.84,1405069,0.0000,1.0
2022-07-19,98.75,101.0,98.74,101.0,101.0,1717228,0.0000,1.0
2022-07-18,100.52,101.32,99.03,99.85,99.85,1403470,0.0000,1.0
2022-07-15,99.26,100.32,98.11,100.2,100.2,1696197,0.0000,1.0
2022-07-14,98.96,98.96,97.1,98.47,98.47,1810606,0.0000,1.0
2022-07-13,99.31,99.64,97.62,99.22,99.22,1533656,0.0000,1.0
2022-07-12,100.48,100.66,99.47,100.06,100.06,2011208,0.0000,1.0
2022-07-11,99.33,100.46,98.86,100.14,100.14,1240263,0.0000,1.0
2022-07-08,98.43,99.58,97.79,99.33,99.33,1431733,0.0000,1.0
2022-07-07,98.82,99.75,98.05,99.27,99.27,2003734,0.0000,1.0
2022-07-06,97.94,99.45,97.36,97.9,97.9,1892418,0.0000,1.0
2022-07-05,98.8,98.83,96.76,97.12,97.12,1952341,0.0000,1.0
2022-07-04,98.17,98.76,97.83,98.34,98.34,1071932,0.0000,1.0
2022-07-01,95.32,97.52,95.14,97.52,97.52,2524240,0.0000,1.0
2022-06-30,96.38,98.75,95.87,96.34,96.34,3108148,0.0000,1.0
2022-06-29,99.34,100.92,99.28,100.88,100.88,1613354,0.0000,1.0
2022-06-28,99.4,100.38,98.73,99.37,99.37,1458646,0.0000,1.0
2022-06-27,100.88,101.24,99.49,99.59,99.59,1567732,0.0000,1.0
2022-06-24,96.33,100.62,96.07,100.56,100.56,2833919,0.0000,1.0
2022-06-23,95.07,96.34,94.43,95.75,95.75,2220518,0.0000,1.0
2022-06-22,93.88,95.54,93.65,95.54,95.54,1650760,0.0000,1.0
2022-06-21,95.33,95.93,94.13,94.43,94.43,1357343,0.0000,1.0
2022-06-20,94.12,95.61,93.93,95.61,95.61,1472350,0.0000,1.0
2022-06-17,94.42,94.53,93.36,94.17,94.17,5158684,0.0000,1.0
2022-06-16,93.57,94.21,92.78,93.53,93.53,1907944,0.0000,1.0
2022-06-15,94.33,94.98,93.31,93.95,93.95,2081737,0.0000,1.0
2022-06-14,96.2,96.91,94.15,94.15,94.15,2119198,0.0000,1.0
2022-06-13,96.0,96.78,95.03,95.87,95.87,2505021,0.0000,1.0
2022-06-10,98.17,98.59,96.44,96.87,96.87,2319456,0.0000,1.0
2022-06-09,99.08,99.38,97.92,98.26,98.26,1863088,0.0000,1.0
2022-06-08,100.48,100.5,98.85,99.11,99.11,1816994,0.0000,1.0
2022-06-07,99.72,100.46,99.16,99.99,99.99,1777200,0.0000,1.0
2022-06-06,99.96,100.96,99.74,100.16,100.16,1685988,0.0000,1.0
2022-06-03,99.74,100.38,99.59,100.06,100.06,1081828,0.0000,1.0
2022-06-02,100.1,100.76,99.26,99.33,99.33,1144378,0.0000,1.0
2022-06-01,100.0,100.66,99.16,99.45,99.45,1677745,0.0000,1.0
2022-05-31,100.06,100.5,98.22,99.38,99.38,5530001,0.0000,1.0
2022-05-30,102.16,102.16,98.51,100.42,100.42,1942891,0.0000,1.0
2022-05-27,103.48,103.58,101.82,102.38,102.38,2130874,0.0000,1.0
2022-05-26,103.8,104.36,103.28,103.6,103.6,1361866,0.0000,1.0
2022-05-25,104.26,104.38,103.58,103.72,103.72,1667343,0.0000,1.0
2022-05-24,102.88,103.98,102.86,103.62,103.62,1851699,0.0000,1.0
2022-05-23,103.0,103.7,102.5,103.7,103.7,1670660,0.0000,1.0
2022-05-20,100.72,102.7,100.56,102.3,102.3,2409766,0.0000,1.0
2022-05-19,99.65,100.52,99.4,100.06,100.06,1859353,0.0000,1.0
2022-05-18,99.92,101.18,99.77,100.92,100.92,2045947,0.0000,1.0
2022-05-17,101.5,101.5,99.12,99.92,99.92,1684855,0.0000,1.0
2022-05-16,98.87,100.0,98.66,100.0,100.0,2065757,0.0000,1.0
2022-05-13,98.39,99.97,97.89,99.79,99.79,1978469,0.0000,1.0
2022-05-12,95.83,98.13,95.16,97.46,97.46,2488806,0.0000,1.0
2022-05-11,98.05,98.12,95.91,97.93,97.93,2504126,0.0000,1.0
2022-05-10,96.67,98.26,95.71,97.79,97.79,2348785,0.0000,1.0
2022-05-09,96.13,96.74,95.52,96.46,96.46,2064994,0.0000,1.0
2022-05-06,96.4,97.42,95.88,97.05,97.05,3436033,3.3300,1.0
2022-05-05,99.6555,100.5507,99.397,99.4765,96.1465,2466800,0.0000,1.0
2022-05-04,100.6302,100.8689,99.0489,99.1782,95.8581,1879001,0.0000,1.0
2022-05-03,100.4512,101.0678,99.6555,101.0678,97.6846,1799188,0.0000,1.0
2022-05-02,99.755,100.4711,98.7803,100.4711,97.1078,2370550,0.0000,1.0
2022-04-29,102.5995,102.6392,100.0534,100.6302,97.2616,2727435,0.0000,1.0
2022-04-28,102.321,103.7333,99.755,101.8436,98.4344,2560683,0.0000,1.0
2022-04-27,101.1673,102.8382,100.5904,102.7785,99.3379,2018162,0.0000,1.0
2022-04-26,100.1727,101.4458,99.9937,100.7496,97.377,1930276,0.0000,1.0
2022-04-25,99.4964,100.9485,98.3626,100.3517,96.9924,2029735,0.0000,1.0
2022-04-22,101.9828,102.2812,100.5904,100.849,97.4731,2002649,0.0000,1.0
2022-04-21,102.5398,102.9376,101.1474,102.679,99.2418,2341332,0.0000,1.0
2022-04-20,101.5054,102.5199,100.4711,101.8038,98.3959,2225435,0.0000,1.0
2022-04-19,101.5452,102.8382,101.0082,101.9828,98.5689,2515407,0.0000,1.0
2022-04-14,102.9376,103.8526,101.5054,102.5796,99.1457,2360181,0.0000,1.0
2022-04-13,102.2016,104.0913,102.1619,103.1166,99.6648,1974075,0.0000,1.0
2022-04-12,103.6736,104.1311,101.585,102.6591,99.2226,3017246,0.0000,1.0
2022-04-11,103.1564,106.0804,103.1365,105.6428,102.1064,2845410,0.0000,1.0
2022-04-08,100.0534,104.3101,100.0335,103.8924,100.4146,3858993,0.0000,1.0
2022-04-07,98.8499,100.2523,98.2234,99.3671,96.0408,3491330,0.0000,1.0
2022-04-06,95.8762,97.9648,95.727,97.8454,94.57,2522958,0.0000,1.0
2022-04-05,95.2496,96.5227,93.7975,96.453,93.2243,1944171,0.0000,1.0
2022-04-04,93.6086,95.17,93.539,94.8518,91.6766,1733211,0.0000,1.0
2022-04-01,92.1864,93.7777,92.0769,93.6285,90.4942,1983256,0.0000,1.0
