,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2023-04-14,64.87,65.01,64.41,64.95,64.95,977591,0.0000,1.0
2023-04-13,64.84,64.84,64.28,64.43,64.43,1199207,0.0000,1.0
2023-04-12,64.34,64.62,63.96,64.06,64.06,893883,0.0000,1.0
2023-04-11,63.74,64.0,63.54,63.66,63.66,1540725,0.0000,1.0
2023-04-10,62.54,63.37,62.54,63.3,63.3,854918,0.0000,1.0
2023-04-06,63.01,63.24,62.67,62.8,62.8,982357,0.0000,1.0
2023-04-05,62.72,62.9,62.1,62.72,62.72,1170580,0.0000,1.0
2023-04-04,62.48,62.69,61.705,62.08,62.08,1837221,0.0000,1.0
2023-04-03,62.47,63.48,62.23,63.14,63.14,2557156,0.0000,1.0
2023-03-31,58.94,59.3,58.87,59.05,59.05,838130,0.0000,1.0
2023-03-30,59.62,59.63,59.0,59.14,59.14,1252716,0.0000,1.0
2023-03-29,58.42,58.5299,58.125,58.16,58.16,1608281,0.0000,1.0
2023-03-28,57.35,58.21,57.22,57.86,57.86,2854793,0.0000,1.0
2023-03-27,56.35,57.3,55.94,57.2,57.2,2822938,0.0000,1.0
2023-03-24,55.59,56.16,55.02,55.7,55.7,1301721,0.0000,1.0
2023-03-23,58.36,58.66,56.85,57.06,57.06,1577026,0.0000,1.0
2023-03-22,58.69,59.32,58.16,58.16,58.16,1177528,0.0000,1.0
2023-03-21,59.35,59.53,58.205,58.86,58.86,1849815,0.0000,1.0
2023-03-20,56.76,57.48,56.7,57.15,57.15,1411972,0.7373,1.0
2023-03-17,57.14,57.23,55.95,56.76,56.0371054550954,2636599,0.0000,1.0
2023-03-16,55.55,57.56,55.03,57.56,56.8269166665837,3095051,0.0000,1.0
2023-03-15,55.89,57.35,55.88,57.35,56.6195912235681,2952971,0.0000,1.0
2023-03-14,59.84,60.6326,59.35,59.94,59.1766050207614,1373877,0.0000,1.0
2023-03-13,59.02,60.11,58.6,59.16,58.4065390895604,2956291,0.0000,1.0
2023-03-10,61.49,61.98,60.76,61.01,60.2329775161271,1121366,0.0000,1.0
2023-03-09,61.71,62.2,60.89,60.95,60.1737416752654,1451029,0.0000,1.0
2023-03-08,62.16,62.53,61.68,61.97,61.180750969913,860251,0.0000,1.0
